bandymas,macro_f1,dydis_mb,mokymo_laikas_s,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
19,0.71368,27.82,46.8,800,10,0.1,0.6,0.6,5
14,0.71365,10.22,30.8,800,8,0.2,1.0,1.0,10
3,0.71101,19.87,35.1,600,10,0.2,0.6,0.6,5
4,0.71026,27.84,42.1,600,10,0.05,0.8,1.0,1
1,0.70958,12.53,33.9,800,8,0.2,0.6,0.8,10
12,0.70739,7.4,13.0,200,10,0.2,0.6,0.6,5
5,0.7073,16.04,26.2,400,10,0.1,1.0,1.0,1
16,0.70694,11.18,27.7,600,8,0.1,0.6,1.0,5
13,0.70247,17.82,36.8,800,8,0.05,0.8,1.0,1
20,0.70007,5.78,20.3,600,6,0.2,0.6,0.8,1
17,0.69747,6.44,13.3,200,10,0.1,0.8,1.0,5
11,0.69024,5.79,25.1,800,6,0.1,1.0,0.8,10
9,0.68759,5.66,19.9,600,6,0.1,0.6,0.6,1
7,0.68105,3.23,13.4,400,6,0.1,0.6,0.8,5
10,0.67882,2.51,20.2,800,4,0.2,0.6,0.8,1
15,0.67647,5.33,19.1,600,6,0.05,0.6,0.6,1
8,0.67465,1.76,14.9,600,4,0.2,1.0,1.0,5
18,0.66941,1.19,10.3,400,4,0.2,0.6,0.6,5
6,0.66856,1.75,15.0,600,4,0.1,0.6,1.0,5
2,0.63317,0.5,5.9,200,4,0.05,0.8,1.0,1
