bandymas,macro_f1,dydis_mb,mokymo_laikas_s,sluoksniai,dropout,learning_rate,batch_size,epochos
9,0.62742,0.52,22.7,"[256, 128]",0.0,0.003,2048,20
15,0.61712,0.52,23.7,"[256, 128]",0.0,0.001,2048,20
8,0.60816,0.21,18.2,"[128, 64, 32]",0.0,0.001,2048,20
12,0.60336,0.53,23.3,"[256, 128]",0.3,0.003,4096,20
10,0.60315,0.18,16.8,"[128, 64]",0.0,0.001,2048,20
4,0.6023,0.53,28.4,"[256, 128]",0.3,0.003,2048,20
13,0.60031,0.53,30.4,"[256, 128]",0.2,0.001,2048,20
11,0.60031,0.53,28.6,"[256, 128]",0.2,0.001,2048,20
14,0.59958,0.05,14.4,[64],0.0,0.003,2048,20
20,0.59645,0.21,10.8,"[128, 64, 32]",0.0,0.003,4096,20
18,0.59359,0.21,16.4,"[128, 64, 32]",0.0,0.0005,2048,20
3,0.59206,0.18,17.8,"[128, 64]",0.2,0.003,2048,20
2,0.59098,0.53,30.2,"[256, 128]",0.3,0.0005,2048,20
5,0.58768,0.06,8.4,[64],0.2,0.003,4096,20
1,0.58222,0.21,31.7,"[128, 64, 32]",0.3,0.003,2048,20
6,0.5808,0.06,8.9,[64],0.2,0.003,2048,20
16,0.57986,0.21,19.5,"[128, 64, 32]",0.2,0.001,4096,20
7,0.57866,0.18,17.0,"[128, 64]",0.3,0.001,4096,20
17,0.57304,0.18,13.7,"[128, 64]",0.3,0.0005,4096,20
19,0.56787,0.21,22.2,"[128, 64, 32]",0.3,0.0005,2048,20
