bandymas,macro_f1,dydis_mb,mokymo_laikas_s,n_estimators,max_depth,min_samples_leaf,max_features
17,0.7117,196.47,42.7,200,30,1,0.3
2,0.70955,218.67,30.5,200,30,1,sqrt
19,0.70938,341.63,49.4,300,30,1,log2
7,0.69809,107.97,39.0,200,30,5,0.3
1,0.6943,155.72,43.7,300,30,5,sqrt
16,0.6867,105.86,60.3,300,20,2,0.3
5,0.68022,28.63,20.5,100,20,5,0.3
13,0.67946,89.27,41.2,300,20,5,sqrt
11,0.67933,59.91,29.0,200,20,5,sqrt
4,0.6782,68.58,28.6,200,30,10,sqrt
6,0.67667,31.51,16.2,100,25,10,sqrt
12,0.676,97.92,38.0,300,30,10,log2
3,0.67121,23.34,15.6,100,20,10,sqrt
18,0.65969,48.41,46.0,300,15,1,log2
15,0.65797,38.1,47.8,300,15,5,sqrt
10,0.65606,12.81,16.8,100,15,5,sqrt
14,0.65422,11.27,15.3,100,15,10,sqrt
8,0.62428,9.48,36.6,300,10,5,sqrt
9,0.62224,6.44,24.3,200,10,10,log2
20,0.62089,9.59,38.4,300,10,10,log2
