klase,pilnas_rinkinys,unikaliu,dublikatu_proc,imtyje,riba_isijunge
DDOS-ICMP_FLOOD,6893196,1907549,72.33,100000,True
DDOS-UDP_FLOOD,5180969,1964069,62.09,100000,True
DDOS-TCP_FLOOD,4305990,1560610,63.76,100000,True
DDOS-PSHACK_FLOOD,3920332,1641896,58.12,100000,True
DDOS-SYN_FLOOD,3886050,1764592,54.59,100000,True
DDOS-RSTFINFLOOD,3872779,1255783,67.57,100000,True
DDOS-SYNONYMOUSIP_FLOOD,3445626,1171372,66.0,100000,True
DOS-UDP_FLOOD,3177217,1851255,41.73,100000,True
DOS-TCP_FLOOD,2558194,1120179,56.21,100000,True
DOS-SYN_FLOOD,1942134,1138613,41.37,100000,True
BENIGN,1051313,1047308,0.38,100000,True
MIRAI-GREETH_FLOOD,949322,897596,5.45,100000,True
MIRAI-UDPPLAIN,852628,767297,10.01,100000,True
MIRAI-GREIP_FLOOD,719601,694290,3.52,100000,True
DDOS-ICMP_FRAGMENTATION,433115,431149,0.45,100000,True
VULNERABILITYSCAN,357576,356322,0.35,100000,True
MITM-ARPSPOOFING,294451,269044,8.63,100000,True
DDOS-UDP_FRAGMENTATION,274879,273392,0.54,100000,True
DDOS-ACK_FRAGMENTATION,272765,271535,0.45,100000,True
DNS_SPOOFING,171463,167017,2.59,100000,True
RECON-HOSTDISCOVERY,128676,127869,0.63,100000,True
RECON-OSSCAN,93966,92323,1.75,92323,False
RECON-PORTSCAN,78729,76789,2.46,76789,False
DOS-HTTP_FLOOD,68795,68441,0.51,68441,False
DDOS-HTTP_FLOOD,27597,27597,0.0,27597,False
DDOS-SLOWLORIS,22399,22399,0.0,22399,False
DICTIONARYBRUTEFORCE,12522,12520,0.02,12520,False
BROWSERHIJACKING,5630,5560,1.24,5560,False
COMMANDINJECTION,5168,5150,0.35,5150,False
SQLINJECTION,5021,5021,0.0,5021,False
XSS,3705,3705,0.0,3705,False
BACKDOOR_MALWARE,3078,3075,0.1,3075,False
RECON-PINGSWEEP,2161,2161,0.0,2161,False
UPLOADING_ATTACK,1196,1196,0.0,1196,False
