Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,_aibe
7.92,17.0,65.91,16550.801041748877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000022,60.1,6.0420036315917966e-05,100.0,1.0000000000000049,DOS-UDP_FLOOD,train
7.92,17.0,65.91,36924.94057575491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000009,60.1,2.7091503143310542e-05,100.0,1.0000000000000016,DDOS-UDP_FLOOD,train
7.92,17.0,65.91,29920.844628335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.000000000000001,60.1,3.342151641845703e-05,100.0,1.0000000000000022,DOS-UDP_FLOOD,train
7.92,17.0,65.91,24372.735196699403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000002,60.1,4.103899002075195e-05,100.0,1.0000000000000004,DOS-UDP_FLOOD,train
7.84,17.0,67.82,22722.27097892627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,6020.0,60.0,70.0,60.2,1.4070529413628967,60.2,4.400968551635742e-05,100.0,1.979797979797979,DOS-UDP_FLOOD,train
20.2,6.0,64.0,26752.800102053832,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6014.0,60.0,74.0,60.14,1.399999999999999,60.14,3.737926483154297e-05,100.0,1.959999999999997,DDOS-SYN_FLOOD,train
7.92,17.0,65.91,28604.678442337856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000004,60.1,3.495931625366211e-05,100.0,1.0000000000000009,DOS-UDP_FLOOD,train
7.84,17.0,67.82,31446.27380416854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,6020.0,60.0,70.0,60.2,1.4070529413628965,60.2,3.1800270080566405e-05,100.0,1.979797979797978,DOS-UDP_FLOOD,train
7.92,17.0,65.91,20946.384338793447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000009,60.1,4.774093627929688e-05,100.0,1.0000000000000016,DOS-UDP_FLOOD,train
19.88,6.0,65.91,32842.40858194346,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6170.0,60.0,230.0,61.7,16.999999999999986,61.7,3.0448436737060545e-05,100.0,288.99999999999955,DDOS-SYNONYMOUSIP_FLOOD,train
20.2,6.0,64.0,38297.15120525931,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6014.0,60.0,74.0,60.14,1.3999999999999997,60.14,2.6121139526367188e-05,100.0,1.959999999999999,DDOS-TCP_FLOOD,train
7.92,17.0,65.91,33112.05494592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000009,60.1,3.0210018157958983e-05,100.0,1.0000000000000018,DDOS-UDP_FLOOD,train
7.92,17.0,65.91,33863.26497658647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.000000000000001,60.1,2.9540061950683595e-05,100.0,1.0000000000000022,DOS-UDP_FLOOD,train
20.2,6.0,64.0,41185.23173605656,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6014.0,60.0,74.0,60.14,1.3999999999999997,60.14,2.428054809570313e-05,100.0,1.9599999999999995,DDOS-TCP_FLOOD,train
7.76,17.0,69.73,11255.04212955509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.03,0.0,1.0,1.0,6030.0,60.0,70.0,60.3,1.7144660799776494,60.3,8.884906768798829e-05,100.0,2.939393939393928,DOS-UDP_FLOOD,train
7.92,17.0,65.91,28019.93453136482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.0000000000000009,60.1,3.568887710571289e-05,100.0,1.0000000000000016,DOS-UDP_FLOOD,train
7.84,17.0,67.82,13234.582860027767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,6020.0,60.0,70.0,60.2,1.4070529413628945,60.2,7.555961608886719e-05,100.0,1.9797979797979728,DOS-UDP_FLOOD,train
7.52,17.0,75.46,36817.97752808989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.06,0.0,1.0,1.0,6060.0,60.0,70.0,60.6,2.386832565759421,60.6,2.716064453125e-05,100.0,5.696969696969703,DOS-UDP_FLOOD,train
7.84,17.0,67.82,19413.580189770888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,1.0,1.0,6020.0,60.0,70.0,60.2,1.4070529413628965,60.2,5.151033401489258e-05,100.0,1.979797979797978,DOS-UDP_FLOOD,train
7.92,17.0,65.91,21088.56151641611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,6010.0,60.0,70.0,60.1,1.000000000000001,60.1,4.741907119750976e-05,100.0,1.0000000000000029,DOS-UDP_FLOOD,train
