modelis,tau,fpr,ataku_aptikta,macro_f1,tikslumas
XGBoost (suderintas),0.5,0.27573333333333333,0.97889025512266,0.7170069203256955,0.8321557829130152
XGBoost (suderintas),0.55,0.24553333333333333,0.9758663880696263,0.717155924318108,0.8312846429287891
XGBoost (suderintas),0.6,0.21966666666666668,0.9724154535370646,0.7164932329500271,0.8298968647204795
XGBoost (suderintas),0.65,0.19126666666666667,0.9684629296829096,0.715550496077974,0.8282672558540882
XGBoost (suderintas),0.7,0.1644,0.9638053145538291,0.7141026473739331,0.8260660472504129
XGBoost (suderintas),0.75,0.13573333333333334,0.9578865605590284,0.7119070886174311,0.8230733928566522
XGBoost (suderintas),0.8,0.10846666666666667,0.9507238650466765,0.7082627526864991,0.8189979966528439
XGBoost (suderintas),0.85,0.0822,0.9415519460232565,0.7026695627730124,0.8133864261550849
XGBoost (suderintas),0.9,0.055933333333333335,0.9292386447343153,0.6955738612616399,0.8056066239615709
XGBoost (suderintas),0.93690427,0.0358,0.9162403157433123,0.6871122759026522,0.7971810239879524
XGBoost (suderintas),0.96018928,0.0242,0.9040445296668587,0.6765875124220273,0.7887856528465942
XGBoost (suderintas),0.97488114,0.015,0.8934108360490812,0.6668519988492357,0.7816873734167649
XGBoost (suderintas),0.98415107,0.0094,0.884402291833266,0.6577522441367206,0.7753173340368407
XGBoost (suderintas),0.99,0.005933333333333333,0.8767437394487103,0.6490875456176057,0.7697332442956819
XGBoost (suderintas),0.99369043,0.0036666666666666666,0.8704323126707195,0.6390876872696111,0.7649021272853684
XGBoost (suderintas),0.99601893,0.0021333333333333334,0.8650237466715965,0.6297752816119062,0.7607140599794994
XGBoost (suderintas),0.99748811,0.0015333333333333334,0.8605610348217638,0.6211225135602084,0.7571910269833549
XGBoost (suderintas),0.99841511,0.001,0.8566142434169984,0.6127245494999496,0.7538850919643519
XGBoost (suderintas),0.999,0.0006,0.8531002519411507,0.6052629090738054,0.7507715222415503
XGBoost (suderintas),0.99936904,0.0003333333333333333,0.8497696988457714,0.5978745901244901,0.7477761197721295
XGBoost (suderintas),0.99960189,0.0002,0.8458630345867334,0.5883055181599878,0.7441706445061845
XGBoost (suderintas),0.99974881,0.0002,0.8417471359249737,0.5789552899295842,0.7404085289276184
XGBoost (suderintas),0.99984151,0.00013333333333333334,0.836794299652327,0.570008595206187,0.7358604637102869
XGBoost (suderintas),0.9999,0.00013333333333333334,0.8308784118822211,0.558081939173694,0.7303725566172288
XGBoost (suderintas),0.9999369,6.666666666666667e-05,0.8241341851753127,0.5468810101869581,0.7241454171716256
XGBoost (suderintas),0.99996019,6.666666666666667e-05,0.8172265836607995,0.5354703178834538,0.7179787353905428
XGBoost (suderintas),0.99997488,6.666666666666667e-05,0.8088199466308962,0.5224345968462961,0.7106743502862121
XGBoost (suderintas),0.99998415,0.0,0.7980687378006311,0.5077269420750972,0.7018915004767912
XGBoost (suderintas),0.99999,0.0,0.7843968460063458,0.4921785942916147,0.6911795015540367
XGBoost (suderintas),0.99999369,0.0,0.763728499732008,0.47455950991298734,0.6761667642233526
XGBoost (suderintas),0.99999602,0.0,0.737577065616482,0.45556525188254754,0.6577134361663245
XGBoost (suderintas),0.99999749,0.0,0.7068769329102785,0.43554837181788053,0.6363828728932565
XGBoost (suderintas),0.99999842,0.0,0.6571364695563944,0.41131914655415847,0.6034087130486877
XGBoost (suderintas),0.999999,0.0,0.5963381113298996,0.38367545855094953,0.5640342849919344
MLP (bazinis),0.5,0.47073333333333334,0.9833357696243239,0.605074836887757,0.7392873140583307
MLP (bazinis),0.55,0.4388,0.980615722388941,0.6060963317327249,0.7394521985979318
MLP (bazinis),0.6,0.40026666666666666,0.9772651057206979,0.6072171921074067,0.7397132657856336
MLP (bazinis),0.65,0.35333333333333333,0.9721288310675827,0.6079784536374606,0.7399853252759755
MLP (bazinis),0.7,0.29713333333333336,0.9645533991991768,0.607585334296607,0.7395373889433924
MLP (bazinis),0.75,0.24053333333333332,0.9541088764112574,0.6041304932749414,0.7372290053889764
MLP (bazinis),0.8,0.1786,0.9387975040915357,0.5978657983102009,0.7323978883786628
MLP (bazinis),0.85,0.1128,0.9147871398230393,0.5866429457078537,0.7227054255257755
MLP (bazinis),0.9,0.053533333333333336,0.8819917968649235,0.5699269031634933,0.7081213879980544
MLP (bazinis),0.93690427,0.020733333333333333,0.8560008713323072,0.5568936691728018,0.6969999258019571
MLP (bazinis),0.96018928,0.0086,0.8388121218374793,0.5455497125457556,0.6888766141509408
MLP (bazinis),0.97488114,0.004,0.8279376653453371,0.5353385547341627,0.6829902360871799
MLP (bazinis),0.98415107,0.0024,0.820680384418056,0.5281122080211551,0.67867575730095
MLP (bazinis),0.99,0.0016666666666666668,0.8153234104634399,0.5208170123351217,0.6751005108672652
MLP (bazinis),0.99369043,0.0011333333333333334,0.8107087887047817,0.5146562018332533,0.6718522854371226
MLP (bazinis),0.99601893,0.0005333333333333334,0.8064467125835862,0.5062011902580774,0.6684776485266193
MLP (bazinis),0.99748811,0.0005333333333333334,0.8024053357638918,0.49710652953262796,0.6651085077674359
MLP (bazinis),0.99841511,0.0002666666666666667,0.798372557618282,0.48160800484874733,0.6617421150839125
MLP (bazinis),0.999,0.00013333333333333334,0.7947066562336088,0.47182444818598956,0.6585735838479105
MLP (bazinis),0.99936904,0.00013333333333333334,0.7911066780169165,0.45954787297235533,0.6554902429573691
MLP (bazinis),0.99960189,0.00013333333333333334,0.7878649778870764,0.4524084418475035,0.6526569769518894
MLP (bazinis),0.99974881,6.666666666666667e-05,0.7844742340731059,0.44383751677010685,0.6496093610449283
MLP (bazinis),0.99984151,6.666666666666667e-05,0.7824392145397846,0.4388850672198769,0.6478093714876157
MLP (bazinis),0.9999,6.666666666666667e-05,0.7804271248040219,0.4341049432670754,0.6460011377033232
MLP (bazinis),0.9999369,6.666666666666667e-05,0.7787675807057218,0.4303210400828753,0.6445419095278532
MLP (bazinis),0.99996019,6.666666666666667e-05,0.7776669504229115,0.427751306383015,0.6436432887870269
MLP (bazinis),0.99997488,6.666666666666667e-05,0.776741159846485,0.42619693144094517,0.6429370333424019
