modelis,taskas,tau,fpr,ataku_aptikta,macro_f1,tikslumas
XGBoost (suderintas),argmax,,0.21346666666666667,0.971839342373406,0.7184686272884818,0.830688310510565
XGBoost (suderintas),slenkstis,0.98415107,0.0094,0.884402291833266,0.6577522441367206,0.7753173340368407
MLP (bazinis),argmax,,0.2912666666666667,0.9638998999687581,0.6096117971584081,0.7410240978754628
MLP (bazinis),slenkstis,0.96018928,0.0086,0.8388121218374793,0.5455497125457556,0.6888766141509408
MLP (suderintas),argmax,,0.3102666666666667,0.9678438251488287,0.634531933562703,0.7819456925288067
MLP (suderintas),slenkstis,0.98415107,0.006733333333333333,0.8503228802118713,0.5905676943391325,0.7365749633818919
Random Forest (suderintas),argmax,,0.2542,0.9744103459246585,0.7238800252683758,0.8348901181947341
Random Forest (suderintas),slenkstis,0.96018928,0.0094,0.880180342857798,0.6422951009659628,0.7716376607280752
Random Forest,argmax,,0.2542,0.9744103459246584,0.7238800252683758,0.8348901181947341
Random Forest,slenkstis,0.96018928,0.0094,0.880180342857798,0.6422951009659628,0.7716376607280752
XGBoost,argmax,,0.2134666666666666,0.971839342373406,0.7184686272884818,0.830688310510565
XGBoost,slenkstis,0.98415107,0.0094,0.884402291833266,0.6577522441367206,0.7753173340368407
MLP,argmax,,0.3102666666666667,0.9678438251488288,0.634531933562703,0.7819456925288067
MLP,slenkstis,0.98415107,0.0067333333333333,0.8503228802118713,0.5905676943391325,0.7365749633818919
