modelis,formuluote,seed,aibe,macro_f1,weighted_f1,accuracy,pr_auc,roc_auc,mcc,fpr,mokymo_laikas_s,inferencija_us,modelio_dydis_mb,konfig,data
Random Forest,8kat,42,val,0.72118,0.84343,0.83957,0.76013,0.97482,0.79248,0.321,133.4,7.875,558.71,konfig/random_forest.yaml,2026-09-07
Random Forest,8kat,43,val,0.72185,0.84369,0.8398,0.75986,0.97434,0.7928,0.32113,134.9,9.545,558.37,konfig/random_forest.yaml,2026-09-07
Random Forest,8kat,44,val,0.72084,0.84331,0.83944,0.75951,0.97437,0.79232,0.32253,136.1,8.35,558.41,konfig/random_forest.yaml,2026-09-07
XGBoost,8kat,42,val,0.68353,0.82491,0.80941,0.78375,0.98256,0.76207,0.212,214.8,6.987,7.74,konfig/gradientinis.yaml,2026-09-07
XGBoost,8kat,43,val,0.68386,0.8249,0.80943,0.78433,0.98259,0.76215,0.21313,217.0,8.386,7.79,konfig/gradientinis.yaml,2026-09-07
XGBoost,8kat,44,val,0.68405,0.82543,0.81005,0.78348,0.98253,0.76264,0.21533,215.6,7.381,7.81,konfig/gradientinis.yaml,2026-09-07
MLP,8kat,42,val,0.60961,0.76618,0.74102,0.71483,0.97259,0.6901,0.29127,50.7,2.541,0.18,konfig/mlp.yaml,2026-09-08
MLP,8kat,43,val,0.61996,0.7719,0.74658,0.72343,0.97448,0.69746,0.305,39.6,2.816,0.18,konfig/mlp.yaml,2026-09-08
MLP,8kat,44,val,0.62002,0.76604,0.7421,0.71993,0.97373,0.6948,0.30027,39.0,3.147,0.18,konfig/mlp.yaml,2026-09-08
Random Forest,8kat,42,val,0.72388,0.84145,0.83489,0.77376,0.98114,0.7902,0.2542,458.8,11.283,639.06,konfig/random_forest_derintas.yaml,2026-09-08
Random Forest,8kat,43,val,0.72333,0.84138,0.83483,0.7736,0.98133,0.79011,0.2532,445.4,11.876,639.71,konfig/random_forest_derintas.yaml,2026-09-08
Random Forest,8kat,44,val,0.72325,0.84131,0.83468,0.77344,0.98141,0.78996,0.25473,474.1,9.562,634.93,konfig/random_forest_derintas.yaml,2026-09-08
XGBoost,8kat,42,val,0.71847,0.83954,0.83069,0.78652,0.98271,0.7856,0.21347,112.2,22.989,44.85,konfig/gradientinis_derintas.yaml,2026-09-08
XGBoost,8kat,43,val,0.71815,0.83951,0.83063,0.78645,0.98268,0.78575,0.21507,111.5,22.844,45.1,konfig/gradientinis_derintas.yaml,2026-09-08
XGBoost,8kat,44,val,0.71896,0.83997,0.83115,0.7866,0.98277,0.78621,0.21267,111.6,36.419,44.92,konfig/gradientinis_derintas.yaml,2026-09-08
MLP,8kat,42,val,0.63453,0.80298,0.78195,0.73378,0.97591,0.72578,0.31027,53.5,3.38,0.52,konfig/mlp_derintas.yaml,2026-09-08
MLP,8kat,43,val,0.62868,0.7892,0.76506,0.73336,0.97606,0.71322,0.33827,41.6,2.584,0.52,konfig/mlp_derintas.yaml,2026-09-08
MLP,8kat,44,val,0.63695,0.80174,0.78046,0.73575,0.9763,0.72459,0.29207,56.3,3.034,0.52,konfig/mlp_derintas.yaml,2026-09-08
Autokoderis,dvejetaine,42,val,0.20507,0.30628,0.22038,0.99588,0.93306,0.09174,0.01,8.7,2.457,0.06,konfig/autoencoder.yaml,2026-09-08
Autokoderis,dvejetaine,43,val,0.18454,0.2694,0.19503,0.99567,0.93057,0.08295,0.01,4.3,3.036,0.06,konfig/autoencoder.yaml,2026-09-08
Autokoderis,dvejetaine,44,val,0.2692,0.41965,0.30598,0.9956,0.93025,0.12,0.01,4.2,2.857,0.06,konfig/autoencoder.yaml,2026-09-08
XGBoost,8kat,42,test,0.721,0.83948,0.83058,0.79205,0.98294,0.78544,0.21367,112.2,25.642,44.85,konfig/gradientinis_derintas.yaml,2026-09-09
XGBoost,8kat,43,test,0.72101,0.83885,0.8299,0.79189,0.98291,0.7848,0.21267,111.5,27.814,45.1,konfig/gradientinis_derintas.yaml,2026-09-09
XGBoost,8kat,44,test,0.72112,0.83951,0.83055,0.79233,0.98292,0.78544,0.21273,111.6,35.458,44.92,konfig/gradientinis_derintas.yaml,2026-09-09
MLP,8kat,42,test,0.63574,0.80312,0.78226,0.73914,0.97637,0.72631,0.30707,53.5,3.302,0.52,konfig/mlp_derintas.yaml,2026-09-09
MLP,8kat,43,test,0.62943,0.78912,0.76497,0.73834,0.97636,0.71335,0.3322,41.6,3.033,0.52,konfig/mlp_derintas.yaml,2026-09-09
MLP,8kat,44,test,0.63858,0.80203,0.78082,0.74109,0.97668,0.72505,0.28693,56.3,2.763,0.52,konfig/mlp_derintas.yaml,2026-09-09
Autokoderis,dvejetaine,42,test,0.20434,0.3049,0.21944,0.99598,0.93333,0.09194,0.009,8.7,3.847,0.06,konfig/autoencoder.yaml,2026-09-09
Autokoderis,dvejetaine,43,test,0.1835,0.26748,0.19376,0.99577,0.93135,0.08282,0.0094,4.3,3.068,0.06,konfig/autoencoder.yaml,2026-09-09
Autokoderis,dvejetaine,44,test,0.26819,0.41786,0.30455,0.99573,0.93054,0.11974,0.00953,4.2,2.794,0.06,konfig/autoencoder.yaml,2026-09-09
Random Forest,8kat,42,test,0.72749,0.84108,0.83432,0.77795,0.98139,0.78949,0.2532,458.8,11.034,639.06,konfig/random_forest_derintas.yaml,2026-09-09
Random Forest,8kat,43,test,0.72774,0.84136,0.83465,0.778,0.98148,0.7899,0.2512,445.4,10.078,639.71,konfig/random_forest_derintas.yaml,2026-09-09
Random Forest,8kat,44,test,0.72754,0.84105,0.83426,0.77831,0.98136,0.78953,0.25293,474.1,9.41,634.93,konfig/random_forest_derintas.yaml,2026-09-09
XGBoost,dvejetaine,42,val,0.7676,0.95278,0.94286,0.83749,0.98101,0.58773,0.097,16.9,0.655,5.55,konfig/gradientinis_dvejetaine.yaml,2026-09-09
XGBoost,dvejetaine,43,val,0.769,0.95326,0.94357,0.83746,0.98095,0.58932,0.0994,15.5,0.685,5.76,konfig/gradientinis_dvejetaine.yaml,2026-09-09
XGBoost,dvejetaine,44,val,0.76919,0.95325,0.94354,0.83713,0.98099,0.59006,0.09733,15.4,0.693,5.66,konfig/gradientinis_dvejetaine.yaml,2026-09-09
XGBoost,dvejetaine,42,test,0.7687,0.95306,0.94324,0.83685,0.98092,0.58968,0.09567,16.9,2.675,5.55,konfig/gradientinis_dvejetaine.yaml,2026-09-09
XGBoost,dvejetaine,43,test,0.76923,0.9533,0.94361,0.83715,0.98097,0.58989,0.0984,15.5,2.776,5.76,konfig/gradientinis_dvejetaine.yaml,2026-09-09
